"","year","imdb","title","test","budget","domgross","intgross","budget_2013.","domgross_2013.","intgross_2013.","totalgross2013"
"230",2011,"tt1637688","In Time","FAIL",35000000,"37553932","170064664",36249178,38894261,176134406,215028667
"231",2011,"tt1606618","Iris","PASS",5500000,"5580479","15155021",5696299,5779651,15695916,21475567
"232",2011,"tt1410063","Jin ling shi san chai","PASS",100000000,"311434","93721434",103569079,322549,97066426,97388975
"233",2011,"tt1634122","Johnny English Reborn","FAIL",45000000,"8305970","164539660",46606085,8602417,170412210,179014627
"234",2011,"tt1640484","Jumping the Broom","PASS",7000000,"37295394","38158601",7249836,38626496,39520511,78147007
"235",2011,"tt1564367","Just Go with It","FAIL",80000000,"103028109","214974953",82855263,106705263,222647578,329352841
"236",2011,"tt1788391","Kill List","FAIL",800000,"29063","462206",828553,30100,478703,508803
"237",2011,"tt1448755","Killer Elite","FAIL",70000000,"25124986","57777106",72498355,26021717,59839216,85860933
"238",2011,"tt1302011","Kung Fu Panda 2","PASS",150000000,"165249063","664837547",155353618,171146932,688566122,859713054
"239",2011,"tt1508675","Le Havre","FAIL",5500000,"611709","13480196",5696299,633541,13961315,14594856
"240",2011,"tt1758692","Like Crazy","PASS",250000,"3395391","3731489",258923,3516575,3864669,7381244
"241",2011,"tt1219289","Limitless","FAIL",27000000,"79249455","169739455",27963651,82077930,175797590,257875520
"242",2011,"tt0466893","Margaret","PASS",14000000,"47185","47185",14499671,48869,48869,97738
"243",2011,"tt1615147","Margin Call","FAIL",3400000,"5353586","17872206",3521349,5544660,18510079,24054739
"244",2011,"tt1305591","Mars Needs Moms","FAIL",150000000,"21392758","39549758",155353618,22156282,40961320,63117602
"245",2011,"tt1441326","Martha Marcy May Marlene","PASS",1000000,"2981038","3531038",1035691,3087434,3657064,6744498
"246",2011,"tt1527186","Melancholia","PASS",9400000,"3030848","18044073",9735493,3139021,18688080,21827101
"247",2011,"tt1605783","Midnight in Paris","PASS",30000000,"56816662","154816662",31070724,58844493,160342190,219186683
"248",2011,"tt1229238","Mission: Impossible - Ghost Protocol","FAIL",145000000,"209397903","694713230",150175164,216871479,719508092,936379571
"249",2011,"tt1210166","Moneyball","FAIL",50000000,"75605492","111174374",51784539,78303911,115142275,193446186
"250",2011,"tt1396218","Mr. Popper&#39;s Penguins","FAIL",55000000,"68224452","189624452",56962993,70659436,196392298,267051734
"251",2011,"tt1598822","New Year&#39;s Eve","PASS",26000000,"54544638","143663899",26927960,56491379,148791377,205282756
"252",2011,"tt1411238","No Strings Attached","PASS",25000000,"70662220","149228078",25892270,73184210,154554145,227738355
"253",2011,"tt1720182","October Baby","PASS",1000000,"5355847","5355847",1035691,5547001,5547001,11094002
"254",2011,"tt1637706","Our Idiot Brother","PASS",5000000,"24814830","25861249",5178454,25700491,26784257,52484748
